CLIENT_REGION_NAME;LATENCY
Antioquia;112,02
Arauca;124,72
Atlantico;151,65
Bogota;87,17
Bolivar;134,17
Boyaca;141,21
Caldas;150,43
Caqueta;176,01
Casanare;138,28
Cauca Dept;105,29
Cesar;147,18
Cordoba;148,9
Cundinamarca;95,65
Guainia;405
Guaviare;268,11
Huila;157,94
La Guajira;198,55
Magdalena;163,82
Meta;165,25
Narino;207,83
North Santander;103,42
Putumayo;244,24
Quindio;129,19
Risaralda;158,3
San Andres and Providencia;199,14
Santander Dept;124,37
Sucre;137,74
Tolima;116,37
Valle del Cauca;146,5
